Trainning Loss,Tranning Accuracy,Valid Set Loss,Valid Set Accuracy
,,,
Sequence,"[1, 2, 3, 4, 5, 6, 7, 8]",,
1.3069,0.851,0.8527,0.9111
1.5321,0.8379,1.0476,0.8811
1.6196,0.8184,1.1669,0.8603
0.7674,0.9082,1.354,0.8438
1.1909,0.8475,1.372,0.842
2.5135,0.7375,1.4182,0.8377
1.8181,0.8124,1.3523,0.8458
,,,
Sequence,"[1, 2, 3, 6, 8, 5, 4, 7]",,
1.2738,0.8555,0.8184,0.9164
1.404,0.8485,0.9854,0.8885
1.5399,0.8242,1.1346,0.8697
1.0695,0.8621,1.1627,0.8645
1.6357,0.8282,1.2356,0.8555
0.7646,0.9065,1.2844,0.8517
1.7487,0.81,1.251,0.8546
2.3449,0.7465,1.3983,0.841
,,,
Sequence,"[5, 1, 6, 3, 2, 8, 4, 7]",,
0.6424,0.9196,1.3516,0.8448
1.2576,0.8599,0.8112,0.9129
1.0082,0.8706,1.0321,0.8815
1.5897,0.8227,1.0742,0.875
1.3765,0.8513,1.1112,0.8752
1.7255,0.8188,1.1391,0.8622
1.7145,0.8122,1.1804,0.8606
2.2919,0.7529,1.3178,0.8448
,,,
Sequence,"[2, 3, 7, 4, 8, 6, 1, 5]",,
1.3477,0.8551,1.2542,0.8598
1.4734,0.8296,1.2389,0.8578
2.0934,0.7747,1.324,0.8458
1.5513,0.828,1.2859,0.8518
1.6206,0.8325,1.2887,0.8482
1.0384,0.8682,1.3722,0.8473
1.2435,0.8604,0.821,0.9152
0.7956,0.897,1.0518,0.8748
,,,
Sequence,"[5, 4, 7, 8, 3, 6, 2, 1]",,
0.514,0.9439,1.0897,0.8722
1.5361,0.8299,1.1388,0.8628
2.144,0.7658,1.2154,0.8592
1.562,0.8359,1.1913,0.8573
1.5367,0.8211,1.2581,0.8555
1.0001,0.8716,1.2449,0.8519
1.4546,0.8457,1.2572,0.8553
1.17,0.8625,0.7565,0.9248
,,,
Sequence,"[7, 1, 3, 2, 8, 4, 5, 6]",,
2.0922,0.7724,1.0281,0.8801
0.9418,0.8917,0.669,0.9329
1.4167,0.8346,0.861,0.9016
1.3175,0.8592,0.9589,0.8853
1.5794,0.8287,0.99,0.8821
1.6725,0.8207,1.0758,0.8757
0.7936,0.8995,1.0883,0.8731
0.9948,0.8719,1.1687,0.867
,,,
Sequence,"[7, 6, 5, 3, 1, 4, 2, 8]",,
2.0291,0.7808,1.198,0.8633
0.7605,0.9036,1.1662,0.8628
0.6247,0.9183,1.1245,0.8715
1.4633,0.8322,1.2379,0.858
1.0893,0.871,0.7305,0.9233
1.6,0.8211,0.9048,0.8954
1.3383,0.8543,0.9096,0.8934
1.589,0.8317,0.9963,0.8814
,,,
Sequence,"[5, 8, 6, 2, 7, 4, 3, 1]",,
0.6419,0.9214,1.0746,0.8764
1.3359,0.8578,1.0926,0.8764
0.91,0.879,1.1513,0.8677
1.2415,0.8688,1.151,0.8664
2.1461,0.7734,1.2416,0.8548
1.6533,0.8194,1.2068,0.8585
1.4616,0.8308,1.173,0.8628
1.1253,0.8724,0.7489,0.9242
,,,
Sequence,"[7, 1, 4, 3, 5, 6, 2, 8]",,
1.9457,0.7847,0.9932,0.8837
0.8788,0.8997,0.6453,0.9385
1.4913,0.8371,0.8138,0.9028
1.3206,0.8465,0.8796,0.8962
0.7247,0.9073,0.9636,0.8853
0.9156,0.8793,1.0138,0.8813
1.3342,0.8553,1.0261,0.8802
1.616,0.8343,1.0453,0.8752
,,,
Sequence,"[8, 7, 4, 3, 5, 6, 2, 1]",,
1.225,0.8791,1.1356,0.8686
2.0366,0.7748,1.1775,0.8612
1.5132,0.8298,1.117,0.8668
1.3587,0.8395,1.0972,0.8675
0.6625,0.9141,1.091,0.8725
0.8813,0.8848,1.1552,0.8635
1.2819,0.8649,1.1938,0.864
1.1244,0.8693,0.7299,0.9268
,,,
Sequence,"[4, 6, 1, 7, 5, 2, 3, 8]",,
1.4393,0.8414,0.9007,0.8894
0.8051,0.8961,0.976,0.8886
0.9466,0.8924,0.6474,0.937
2.0026,0.783,0.8636,0.9027
0.6489,0.9161,0.8614,0.8956
1.2447,0.8698,0.9296,0.8932
1.4036,0.8341,0.9534,0.8863
1.5648,0.8336,0.9878,0.8852
